EBELN,EBELP,MATNR,WERKS,LGORT,MENGE,NETPR,PEINH,MWSKZ,EINDT
451012,63,M654,US01,0001,11,736.9,1,A0,2025-09-15
451012,22,M676,US01,0001,14,639.85,1,V0,2025-11-08
451012,97,M751,US01,0001,4,207.65,1,A1,2025-09-14
451013,97,M816,US01,0002,2,223.29,1,A0,2025-08-29
451014,55,M855,US01,0002,10,355.37,1,A1,2025-10-26
451014,10,M954,US01,0002,19,715.5,1,V0,2025-08-26
451015,55,M289,US01,0002,17,722.83,1,A1,2025-11-01
451016,31,M608,US01,0002,11,208.56,1,A0,2025-09-05
451016,54,M421,US01,0001,11,356.73,1,A1,2025-09-19
451017,33,M208,US01,0001,20,962.57,1,A1,2025-08-18
451017,23,M940,US01,0002,13,451.32,1,A1,2025-10-18
451017,57,M953,US01,0001,20,466.85,1,A1,2025-11-04
451017,29,M954,US01,0001,8,725.14,1,A0,2025-10-16
451018,75,M961,US01,0002,17,309.53,1,A0,2025-10-08
451018,90,M138,US01,0001,14,254.99,1,A0,2025-08-18
451018,89,M148,US01,0002,7,953.63,1,A1,2025-11-09
451018,49,M816,US01,0002,4,829.62,1,V0,2025-11-10
451019,30,M304,US01,0001,1,110.37,1,V0,2025-08-20
451019,89,M204,US01,0001,14,910.73,1,A1,2025-11-01
451019,20,M969,US01,0001,12,666.42,1,A1,2025-10-28
451019,65,M776,US01,0002,2,702.2,1,V0,2025-09-25
451020,22,M617,US01,0001,2,979.63,1,A1,2025-09-24
451020,36,M936,US01,0002,16,673.25,1,V0,2025-10-17
451020,16,M699,US01,0001,12,897.71,1,A1,2025-08-23
451021,21,M212,US01,0002,9,875.72,1,A0,2025-09-08
451021,25,M878,US01,0002,7,168.94,1,A1,2025-11-06
451021,34,M107,US01,0001,13,839.85,1,V0,2025-10-31
451021,73,M961,US01,0001,7,124.76,1,A0,2025-11-13
451022,81,M872,US01,0002,2,710.06,1,A0,2025-11-01
451022,15,M939,US01,0002,18,383.48,1,A0,2025-10-05
451023,69,M179,US01,0001,16,271.16,1,A0,2025-11-05
451023,62,M681,US01,0001,18,454.77,1,A0,2025-08-31
451023,69,M114,US01,0001,5,686.19,1,A1,2025-11-12
451023,10,M686,US01,0002,10,559.5,1,A0,2025-09-04
451024,20,M107,US01,0002,12,531.18,1,V0,2025-10-23
451025,12,M172,US01,0002,12,530.76,1,A0,2025-10-18
451025,28,M527,US01,0001,13,706.47,1,V0,2025-09-04
451025,70,M746,US01,0002,7,464.12,1,A0,2025-08-25
451025,12,M669,US01,0001,5,528.24,1,V0,2025-10-31
451026,29,M474,US01,0001,3,444.64,1,A1,2025-10-05
451026,81,M981,US01,0002,13,245.86,1,A0,2025-10-15
451026,16,M816,US01,0001,10,480.14,1,A0,2025-10-31
451026,26,M841,US01,0002,14,69.97,1,A1,2025-11-10
451027,62,M932,US01,0001,20,620.21,1,A0,2025-09-15
451027,91,M431,US01,0002,6,981.43,1,V0,2025-10-19
451027,24,M275,US01,0002,19,563.63,1,V0,2025-10-23
451027,21,M108,US01,0002,1,396.32,1,V0,2025-08-23
451028,45,M138,US01,0001,16,947.02,1,V0,2025-10-20
451028,50,M799,US01,0002,5,283.61,1,V0,2025-10-07
451028,17,M757,US01,0002,18,121.37,1,V0,2025-11-12
451029,78,M354,US01,0002,10,658.0,1,A1,2025-10-22
451029,74,M572,US01,0002,13,603.39,1,A1,2025-09-20
451029,14,M608,US01,0002,5,196.25,1,A1,2025-08-21
451029,40,M700,US01,0001,2,255.96,1,A1,2025-09-05
451030,90,M987,US01,0001,12,857.93,1,V0,2025-11-12
451030,81,M932,US01,0002,2,901.88,1,A0,2025-10-13
451030,91,M886,US01,0001,18,706.65,1,A1,2025-09-23
451030,45,M878,US01,0002,6,733.33,1,V0,2025-09-23
451031,12,M968,US01,0001,10,374.34,1,A0,2025-09-25
451031,37,M558,US01,0001,4,686.97,1,A1,2025-09-11
451031,97,M718,US01,0002,15,90.09,1,A0,2025-09-15
451031,20,M373,US01,0001,7,167.38,1,A0,2025-10-03
451032,75,M298,US01,0001,12,339.78,1,V0,2025-09-29
451032,50,M939,US01,0002,17,113.0,1,A1,2025-10-20
451032,71,M877,US01,0002,5,337.39,1,A1,2025-10-30
451033,88,M601,US01,0002,18,593.06,1,A0,2025-09-19
451034,90,M536,US01,0002,10,737.55,1,A1,2025-10-15
451035,72,M908,US01,0001,13,526.59,1,A1,2025-09-09
451035,99,M987,US01,0001,6,187.07,1,V0,2025-08-22
451035,38,M453,US01,0002,9,250.93,1,A0,2025-10-10
451036,93,M714,US01,0002,4,469.67,1,V0,2025-09-19
451036,40,M181,US01,0001,1,833.79,1,A1,2025-10-22
451036,78,M266,US01,0001,8,492.77,1,V0,2025-09-27
451036,60,M231,US01,0001,20,260.03,1,V0,2025-10-22
451037,46,M341,US01,0001,7,407.52,1,V0,2025-10-08
451038,99,M829,US01,0001,6,483.74,1,A1,2025-10-27
451038,62,M908,US01,0002,14,73.96,1,A0,2025-09-30
451039,96,M987,US01,0002,10,777.73,1,A0,2025-09-01
451039,43,M833,US01,0002,2,164.23,1,A1,2025-10-01
451039,77,M502,US01,0002,9,794.46,1,A1,2025-09-06
451040,72,M817,US01,0001,13,937.56,1,A1,2025-08-23
451040,13,M414,US01,0002,12,641.09,1,A1,2025-08-20
451040,26,M243,US01,0002,12,219.84,1,A0,2025-09-11
451040,60,M714,US01,0001,19,161.16,1,A1,2025-09-28
451041,12,M230,US01,0002,18,229.61,1,A1,2025-10-18
451042,82,M831,US01,0002,6,924.43,1,A1,2025-08-21
451042,30,M859,US01,0001,8,834.78,1,V0,2025-09-08
451043,39,M746,US01,0002,18,305.81,1,A0,2025-10-31
451043,40,M555,US01,0002,13,373.32,1,A0,2025-09-16
451044,68,M138,US01,0002,11,825.52,1,A1,2025-09-30
451045,77,M502,US01,0002,2,481.43,1,V0,2025-11-08
451046,47,M920,US01,0002,9,574.97,1,A0,2025-10-11
451046,63,M951,US01,0001,16,674.42,1,V0,2025-09-14
451046,16,M816,US01,0002,19,930.14,1,V0,2025-08-27
451046,28,M283,US01,0002,10,83.41,1,A1,2025-11-11
451047,44,M107,US01,0002,4,664.72,1,V0,2025-09-27
451047,41,M676,US01,0002,15,582.05,1,V0,2025-09-02
451047,30,M455,US01,0002,11,220.55,1,A0,2025-10-30
451047,67,M249,US01,0001,15,368.86,1,A1,2025-10-31
451048,83,M354,US01,0001,15,810.97,1,V0,2025-11-11
451049,85,M932,US01,0002,5,660.46,1,A0,2025-09-23
451050,96,M954,US01,0001,19,176.06,1,A1,2025-09-18
451050,97,M757,US01,0002,14,427.82,1,A0,2025-10-31
451050,52,M219,US01,0001,19,230.54,1,V0,2025-09-21
451051,13,M257,US01,0001,7,110.59,1,A0,2025-08-24
451051,41,M710,US01,0002,9,339.67,1,A0,2025-10-01
451051,53,M357,US01,0002,20,716.2,1,V0,2025-08-20
451052,22,M714,US01,0002,17,969.3,1,A0,2025-10-26
451053,44,M817,US01,0001,6,887.87,1,A1,2025-10-26
451053,38,M473,US01,0002,6,206.51,1,A0,2025-09-06
451054,48,M404,US01,0001,14,280.37,1,V0,2025-09-23
451055,95,M957,US01,0002,19,431.67,1,V0,2025-08-21
451055,23,M908,US01,0001,3,933.17,1,A0,2025-11-12
451055,74,M287,US01,0001,3,669.3,1,A0,2025-08-22
451056,94,M376,US01,0002,18,769.87,1,A1,2025-10-20
451056,29,M810,US01,0002,9,590.47,1,V0,2025-10-30
451056,49,M555,US01,0002,16,612.93,1,A1,2025-10-14
451056,93,M390,US01,0002,15,518.11,1,A0,2025-08-20
451057,75,M569,US01,0002,6,643.95,1,A0,2025-09-07
451057,78,M404,US01,0001,19,555.37,1,A0,2025-09-25
451057,45,M361,US01,0002,3,439.27,1,V0,2025-10-02
451058,23,M933,US01,0001,12,843.25,1,V0,2025-10-12
451058,31,M843,US01,0002,3,893.21,1,A0,2025-11-10
451058,47,M810,US01,0002,9,145.98,1,V0,2025-08-18
451059,74,M689,US01,0001,16,222.62,1,V0,2025-11-02
451059,81,M908,US01,0002,5,906.05,1,A0,2025-09-13
451059,68,M850,US01,0002,14,958.94,1,V0,2025-08-17
451059,39,M254,US01,0002,11,654.2,1,V0,2025-08-17
451060,10,M431,US01,0001,9,76.91,1,V0,2025-10-23
451060,83,M707,US01,0001,5,480.86,1,A0,2025-08-29
451061,18,M901,US01,0001,2,255.82,1,A0,2025-10-08
451061,85,M751,US01,0001,16,904.02,1,V0,2025-09-13
451061,66,M827,US01,0002,15,232.73,1,A1,2025-09-28
451062,64,M608,US01,0001,19,923.17,1,A0,2025-10-08
451062,85,M887,US01,0002,5,589.47,1,V0,2025-10-01
451062,80,M494,US01,0001,7,806.2,1,A0,2025-08-26
451062,24,M933,US01,0001,1,935.55,1,A0,2025-09-16
451063,93,M527,US01,0002,1,572.06,1,A0,2025-09-08
451063,80,M751,US01,0002,14,197.68,1,V0,2025-09-22
451064,16,M281,US01,0001,3,915.0,1,A0,2025-09-30
451064,98,M142,US01,0001,11,88.17,1,A0,2025-11-07
451064,96,M829,US01,0002,12,443.91,1,V0,2025-09-26
451065,24,M936,US01,0002,3,429.76,1,A1,2025-09-15
451066,39,M555,US01,0001,8,356.72,1,A0,2025-09-18
451066,35,M289,US01,0002,17,751.88,1,A0,2025-08-23
451067,82,M381,US01,0001,2,907.45,1,A1,2025-09-01
451067,56,M538,US01,0002,12,97.14,1,V0,2025-09-13
451068,32,M886,US01,0001,19,55.93,1,A1,2025-09-13
451068,88,M654,US01,0001,9,924.88,1,V0,2025-11-10
451068,71,M886,US01,0001,2,212.49,1,A0,2025-08-16
451068,18,M815,US01,0001,14,699.5,1,A1,2025-08-31
451069,79,M939,US01,0001,11,923.36,1,A1,2025-09-19
451069,16,M610,US01,0001,1,108.47,1,A1,2025-10-31
451069,87,M287,US01,0002,14,590.09,1,V0,2025-10-29
451070,71,M306,US01,0002,2,974.53,1,V0,2025-11-04
451070,94,M683,US01,0002,18,267.61,1,A1,2025-10-21
451071,97,M710,US01,0001,10,180.13,1,A0,2025-10-06
451071,68,M275,US01,0002,9,633.9,1,V0,2025-10-20
451071,56,M707,US01,0002,1,413.88,1,A0,2025-09-20
451071,73,M421,US01,0001,15,357.7,1,A0,2025-08-29
451072,55,M748,US01,0002,19,104.28,1,A0,2025-09-25
451072,60,M987,US01,0001,9,270.15,1,V0,2025-08-18
451072,90,M843,US01,0001,12,222.25,1,A0,2025-08-23
451073,53,M243,US01,0002,16,636.12,1,A0,2025-09-17
451073,45,M676,US01,0002,19,773.95,1,A1,2025-10-30
451073,83,M228,US01,0001,5,995.13,1,V0,2025-10-12
451074,17,M933,US01,0001,11,417.86,1,V0,2025-08-30
451075,81,M669,US01,0002,13,297.71,1,A0,2025-11-06
451075,75,M686,US01,0001,10,880.44,1,A1,2025-10-09
451075,96,M853,US01,0002,4,813.33,1,V0,2025-10-13
451076,34,M203,US01,0001,7,796.87,1,V0,2025-10-30
451077,20,M794,US01,0001,5,627.87,1,V0,2025-11-05
451077,32,M669,US01,0001,20,782.8,1,A0,2025-09-08
451077,93,M341,US01,0002,20,548.44,1,A1,2025-10-08
451078,29,M835,US01,0001,12,392.01,1,V0,2025-09-14
451078,96,M361,US01,0002,5,203.05,1,A0,2025-10-25
451079,40,M360,US01,0002,9,720.87,1,V0,2025-11-11
451079,86,M527,US01,0001,8,929.21,1,A1,2025-11-09
451079,58,M953,US01,0002,17,715.64,1,A0,2025-11-12
451080,16,M360,US01,0001,2,916.55,1,A0,2025-10-20
451080,19,M968,US01,0002,8,596.88,1,A0,2025-09-02
451080,34,M262,US01,0001,7,681.87,1,V0,2025-10-26
451081,58,M219,US01,0001,19,370.21,1,V0,2025-08-26
451081,73,M179,US01,0002,18,106.44,1,A1,2025-08-20
451081,50,M172,US01,0001,16,177.71,1,A0,2025-09-03
451082,24,M699,US01,0002,13,880.13,1,V0,2025-09-11
451082,78,M954,US01,0001,9,942.61,1,A1,2025-08-19
451082,87,M841,US01,0001,2,378.75,1,A0,2025-09-07
451083,99,M127,US01,0002,8,267.38,1,V0,2025-09-03
451083,27,M710,US01,0002,4,997.59,1,V0,2025-09-22
451083,86,M114,US01,0001,6,61.42,1,A0,2025-08-20
451084,84,M751,US01,0002,4,882.08,1,A0,2025-10-10
451085,18,M517,US01,0002,19,232.19,1,A1,2025-08-26
451085,67,M751,US01,0002,7,477.8,1,V0,2025-09-10
451085,65,M676,US01,0002,9,773.7,1,A0,2025-11-01
451086,30,M376,US01,0002,16,708.65,1,A0,2025-08-20
451086,72,M281,US01,0002,11,615.73,1,V0,2025-10-12
451086,72,M901,US01,0002,20,434.32,1,V0,2025-10-27
451086,70,M908,US01,0001,19,975.46,1,V0,2025-09-17
451087,77,M859,US01,0002,18,66.67,1,V0,2025-08-27
451087,74,M474,US01,0001,8,940.49,1,A0,2025-09-02
451088,59,M256,US01,0002,18,637.2,1,V0,2025-09-20
451088,22,M208,US01,0001,18,112.97,1,A0,2025-11-11
451088,51,M179,US01,0002,8,408.05,1,A0,2025-11-09
451088,44,M817,US01,0001,9,569.57,1,A0,2025-10-07
451089,89,M951,US01,0002,5,383.59,1,A0,2025-11-06
451089,26,M839,US01,0002,18,192.85,1,V0,2025-10-09
451089,67,M617,US01,0002,11,595.07,1,A0,2025-08-16
451089,42,M487,US01,0001,10,237.17,1,A0,2025-08-29
451090,24,M853,US01,0002,3,437.1,1,A0,2025-10-23
451091,60,M221,US01,0002,3,881.89,1,A0,2025-09-05
451091,13,M622,US01,0002,7,891.13,1,A0,2025-10-24
451092,14,M376,US01,0001,10,178.63,1,A1,2025-08-19
451092,54,M908,US01,0001,1,868.6,1,V0,2025-08-26
451093,38,M211,US01,0001,7,454.97,1,A0,2025-08-30
451093,21,M257,US01,0002,10,371.85,1,A0,2025-11-12
451093,46,M382,US01,0001,18,771.53,1,A0,2025-10-14
451094,20,M517,US01,0002,17,159.44,1,A0,2025-11-10
451094,66,M572,US01,0001,12,171.32,1,V0,2025-09-16
451094,93,M453,US01,0002,19,209.85,1,A1,2025-10-10
451094,75,M473,US01,0002,7,431.8,1,A1,2025-09-08
451095,63,M127,US01,0001,3,116.6,1,A1,2025-10-11
451095,59,M987,US01,0002,19,595.29,1,V0,2025-10-31
451095,19,M257,US01,0001,19,430.35,1,A0,2025-10-31
451095,20,M275,US01,0001,4,399.31,1,A1,2025-09-26
451096,41,M487,US01,0001,2,601.62,1,A0,2025-10-25
451096,60,M810,US01,0002,9,461.72,1,A0,2025-09-15
451096,22,M987,US01,0001,3,854.32,1,V0,2025-10-23
451096,39,M969,US01,0001,1,527.04,1,A0,2025-09-22
451097,81,M815,US01,0001,2,178.92,1,A1,2025-10-25
451097,75,M987,US01,0002,15,129.7,1,A1,2025-08-17
451097,85,M249,US01,0001,10,56.02,1,A0,2025-08-31
451098,72,M799,US01,0001,6,847.16,1,V0,2025-08-22
451098,81,M646,US01,0001,3,882.32,1,A0,2025-10-07
451099,66,M113,US01,0002,7,198.93,1,V0,2025-10-27
451099,61,M939,US01,0001,20,648.06,1,A1,2025-10-04
451099,19,M953,US01,0002,2,553.49,1,A0,2025-09-23
451100,25,M107,US01,0001,9,839.85,1,A1,2025-09-07
451100,44,M304,US01,0002,17,332.9,1,A0,2025-10-06
451101,64,M555,US01,0002,15,360.41,1,A0,2025-11-09
451101,29,M410,US01,0002,2,242.43,1,V0,2025-10-09
451101,80,M404,US01,0001,4,671.34,1,V0,2025-09-03
451102,79,M412,US01,0002,17,937.86,1,V0,2025-11-12
451102,77,M886,US01,0001,6,698.36,1,V0,2025-08-25
451103,73,M872,US01,0002,6,963.0,1,A0,2025-09-13
451103,76,M951,US01,0002,19,60.34,1,V0,2025-10-09
451104,37,M886,US01,0002,20,115.27,1,A0,2025-08-24
451104,86,M829,US01,0002,18,242.86,1,V0,2025-10-22
451104,85,M230,US01,0002,1,357.78,1,V0,2025-08-18
451104,27,M487,US01,0002,9,73.11,1,V0,2025-09-28
451105,26,M853,US01,0002,7,276.73,1,A1,2025-09-11
451105,83,M699,US01,0001,5,337.86,1,A1,2025-09-03
451106,76,M552,US01,0002,12,783.81,1,A0,2025-11-07
451106,12,M160,US01,0001,9,690.29,1,V0,2025-09-10
451106,22,M270,US01,0002,7,800.07,1,A0,2025-09-17
451106,69,M951,US01,0002,3,460.34,1,A0,2025-09-29
451107,22,M794,US01,0002,1,783.98,1,A0,2025-09-02
451107,94,M293,US01,0002,5,777.08,1,A1,2025-10-12
451108,25,M860,US01,0001,8,456.28,1,V0,2025-11-02
451108,33,M617,US01,0001,15,417.06,1,A1,2025-10-12
451108,24,M682,US01,0002,10,158.17,1,A0,2025-11-11
451109,67,M676,US01,0001,2,364.96,1,A0,2025-11-02
451110,67,M360,US01,0002,18,388.7,1,A0,2025-09-11
451110,88,M412,US01,0001,18,359.28,1,V0,2025-09-06
451111,61,M815,US01,0001,20,710.8,1,A0,2025-10-03
451111,20,M901,US01,0001,12,561.82,1,A1,2025-11-12
451111,38,M618,US01,0002,10,514.37,1,V0,2025-11-10
451111,79,M555,US01,0001,13,312.39,1,A1,2025-10-25
451112,66,M306,US01,0002,14,753.53,1,A1,2025-10-19
451112,99,M231,US01,0002,13,670.81,1,A1,2025-10-12
451113,69,M894,US01,0001,7,936.24,1,A0,2025-08-26
451113,92,M487,US01,0001,19,474.27,1,A1,2025-09-20
451113,43,M368,US01,0002,18,618.13,1,A0,2025-09-10
451113,90,M482,US01,0002,16,125.27,1,A0,2025-09-08
451114,29,M275,US01,0001,4,919.69,1,V0,2025-08-19
451114,54,M431,US01,0001,6,269.17,1,A1,2025-08-21
451115,52,M757,US01,0002,20,96.43,1,V0,2025-09-05
451115,21,M203,US01,0001,10,965.4,1,A1,2025-08-27
451115,61,M815,US01,0002,3,255.57,1,A1,2025-10-08
451116,94,M839,US01,0002,3,957.76,1,A0,2025-10-22
451116,14,M266,US01,0001,8,460.04,1,V0,2025-08-29
451117,38,M221,US01,0001,6,298.73,1,A1,2025-09-28
451118,17,M416,US01,0001,15,548.75,1,A1,2025-09-17
451118,30,M968,US01,0001,16,78.26,1,V0,2025-10-26
451119,14,M654,US01,0002,10,394.75,1,V0,2025-10-03
451119,19,M831,US01,0002,17,291.02,1,A1,2025-10-18
451119,65,M431,US01,0002,5,527.7,1,A0,2025-08-17
451120,32,M817,US01,0001,13,588.21,1,V0,2025-10-25
451121,29,M181,US01,0002,10,975.34,1,V0,2025-09-01
451121,36,M676,US01,0002,20,751.22,1,V0,2025-10-16
451121,76,M815,US01,0001,14,288.69,1,A0,2025-09-07
451121,28,M270,US01,0001,18,273.25,1,A1,2025-09-27
451122,36,M373,US01,0001,5,202.78,1,A1,2025-09-08
451123,47,M270,US01,0002,3,578.31,1,A0,2025-09-15
451123,39,M676,US01,0001,5,432.87,1,A1,2025-09-24
451124,53,M368,US01,0002,14,185.29,1,A1,2025-10-03
451124,45,M527,US01,0001,2,199.48,1,A1,2025-10-05
451124,12,M144,US01,0002,6,691.1,1,V0,2025-09-13
451124,54,M127,US01,0002,2,380.55,1,A1,2025-10-03
451125,92,M805,US01,0002,9,484.73,1,A0,2025-10-21
451125,34,M940,US01,0002,16,452.09,1,V0,2025-10-29
451126,18,M414,US01,0001,2,111.08,1,A0,2025-11-07
451126,32,M114,US01,0002,2,886.41,1,A1,2025-09-28
451127,58,M908,US01,0001,9,966.95,1,V0,2025-10-05
451127,30,M676,US01,0002,4,140.32,1,A1,2025-08-25
451127,50,M275,US01,0001,17,963.8,1,V0,2025-08-17
451127,23,M390,US01,0002,7,360.84,1,A0,2025-09-10
451128,52,M360,US01,0001,1,283.11,1,A0,2025-09-14
451128,74,M674,US01,0001,3,426.28,1,V0,2025-09-03
451129,88,M816,US01,0001,13,66.13,1,V0,2025-09-17
451129,48,M786,US01,0002,19,404.26,1,A1,2025-09-10
451129,74,M969,US01,0001,6,782.51,1,A0,2025-09-13
451130,49,M936,US01,0002,6,106.13,1,V0,2025-08-25
451130,33,M700,US01,0002,9,885.3,1,A0,2025-08-23
451131,96,M298,US01,0001,3,156.38,1,V0,2025-10-17
451131,32,M746,US01,0001,9,273.61,1,A1,2025-10-02
451131,58,M681,US01,0001,2,68.86,1,A0,2025-11-05
451131,64,M936,US01,0001,19,918.08,1,V0,2025-09-08
451132,43,M932,US01,0002,2,241.55,1,A1,2025-09-13
451132,53,M746,US01,0001,15,69.42,1,V0,2025-09-29
451132,75,M700,US01,0002,1,276.05,1,A0,2025-09-07
451133,38,M431,US01,0002,6,94.39,1,A0,2025-11-11
451133,22,M786,US01,0001,15,175.14,1,A1,2025-09-30
451134,42,M969,US01,0002,12,66.31,1,A1,2025-09-11
451134,52,M987,US01,0001,20,920.81,1,A0,2025-08-25
451134,53,M676,US01,0001,20,427.81,1,A1,2025-10-06
451135,68,M219,US01,0001,8,538.13,1,V0,2025-11-13
451135,71,M683,US01,0001,1,691.51,1,A1,2025-08-30
451135,58,M298,US01,0002,14,170.45,1,A1,2025-09-21
451136,64,M601,US01,0002,15,862.37,1,V0,2025-10-24
451137,61,M676,US01,0002,20,589.96,1,A0,2025-10-18
451137,38,M901,US01,0001,4,271.81,1,A0,2025-09-11
451137,14,M114,US01,0002,14,85.16,1,V0,2025-10-19
451137,55,M254,US01,0002,1,888.14,1,A0,2025-09-09
451138,98,M604,US01,0002,2,988.32,1,V0,2025-10-18
451138,33,M908,US01,0001,1,688.79,1,A0,2025-08-21
451138,36,M361,US01,0002,18,388.6,1,V0,2025-09-05
451138,59,M258,US01,0002,6,350.72,1,V0,2025-10-28
451139,12,M108,US01,0001,13,107.03,1,A0,2025-10-27
451139,53,M390,US01,0002,15,201.32,1,A0,2025-11-02
451139,13,M517,US01,0001,14,78.29,1,A0,2025-10-11
451139,79,M750,US01,0002,11,867.73,1,A0,2025-10-31
451140,25,M850,US01,0001,7,658.02,1,A0,2025-10-19
451140,19,M920,US01,0002,11,332.8,1,A1,2025-08-19
451140,61,M987,US01,0002,11,648.72,1,A0,2025-10-30
451141,16,M939,US01,0002,8,699.42,1,A1,2025-10-04
451141,51,M266,US01,0002,14,613.37,1,V0,2025-10-21
451141,77,M589,US01,0001,10,708.33,1,A1,2025-10-26
451141,59,M815,US01,0002,2,62.14,1,A0,2025-10-01
451142,94,M221,US01,0002,10,484.49,1,A0,2025-09-27
451143,75,M961,US01,0002,8,473.59,1,V0,2025-09-28
451143,38,M899,US01,0001,14,592.12,1,V0,2025-09-16
451144,46,M373,US01,0001,10,661.65,1,V0,2025-09-12
451144,42,M674,US01,0001,1,260.69,1,A0,2025-10-08
451144,13,M751,US01,0002,9,947.47,1,A1,2025-09-25
451145,92,M474,US01,0002,6,601.65,1,A1,2025-09-05
451145,36,M172,US01,0001,15,214.52,1,A1,2025-09-15
451145,99,M887,US01,0001,15,177.74,1,A1,2025-11-05
451146,39,M306,US01,0001,18,878.95,1,A0,2025-10-20
451146,32,M816,US01,0002,12,247.26,1,V0,2025-10-18
451146,96,M357,US01,0001,5,216.0,1,V0,2025-08-16
451147,42,M181,US01,0001,12,896.97,1,A0,2025-11-04
451147,56,M991,US01,0002,16,870.68,1,A0,2025-09-30
451147,27,M609,US01,0001,14,999.73,1,A1,2025-09-01
451147,26,M920,US01,0002,17,855.65,1,A0,2025-10-15
451148,22,M390,US01,0001,11,374.84,1,V0,2025-08-21
451149,67,M547,US01,0002,1,323.26,1,A1,2025-11-09
451149,45,M172,US01,0001,2,960.5,1,A0,2025-09-20
451150,82,M547,US01,0001,4,852.73,1,V0,2025-08-19
451150,93,M552,US01,0001,11,701.06,1,A1,2025-08-16
451151,89,M219,US01,0001,5,646.78,1,V0,2025-09-18
451151,60,M751,US01,0002,14,599.54,1,A1,2025-10-18
451151,48,M721,US01,0002,18,752.66,1,A1,2025-09-04
451151,48,M465,US01,0002,1,724.0,1,V0,2025-10-22
451152,32,M833,US01,0002,9,284.03,1,A1,2025-10-30
451152,68,M160,US01,0001,11,974.43,1,V0,2025-11-09
451153,60,M455,US01,0002,11,623.44,1,V0,2025-10-29
451154,94,M287,US01,0002,14,937.53,1,A1,2025-09-17
451154,98,M257,US01,0001,3,69.25,1,A1,2025-08-22
451154,51,M203,US01,0001,3,366.96,1,V0,2025-09-23
451154,23,M991,US01,0001,3,874.1,1,A1,2025-10-12
451155,62,M827,US01,0001,11,115.44,1,A0,2025-09-01
451155,33,M306,US01,0001,5,302.73,1,V0,2025-10-27
451155,41,M243,US01,0001,9,244.52,1,A0,2025-10-21
451155,82,M502,US01,0001,1,233.97,1,A1,2025-10-22
451156,54,M669,US01,0002,5,980.89,1,A0,2025-11-04
451156,31,M487,US01,0002,1,729.84,1,A1,2025-09-06
451156,22,M552,US01,0002,3,216.04,1,V0,2025-10-05
451157,50,M829,US01,0001,13,921.91,1,V0,2025-10-06
451157,95,M431,US01,0001,9,323.17,1,A0,2025-10-13
451157,37,M144,US01,0002,3,407.54,1,V0,2025-08-30
451157,26,M827,US01,0002,1,470.84,1,A1,2025-09-18
451158,55,M127,US01,0002,15,516.28,1,A0,2025-09-22
451158,92,M319,US01,0001,17,225.06,1,A0,2025-08-19
451158,80,M899,US01,0001,14,265.08,1,V0,2025-10-07
451159,71,M954,US01,0001,4,881.92,1,A1,2025-09-24
451159,64,M249,US01,0002,10,476.48,1,V0,2025-08-24
451160,63,M676,US01,0001,5,444.03,1,V0,2025-09-16
451161,73,M357,US01,0001,9,283.97,1,V0,2025-11-02
451161,54,M517,US01,0001,13,647.23,1,A1,2025-09-12
451162,59,M902,US01,0002,17,839.18,1,A0,2025-09-09
451162,95,M487,US01,0002,5,399.89,1,A0,2025-10-29
451162,50,M107,US01,0001,9,934.77,1,V0,2025-10-20
451162,35,M527,US01,0002,5,193.04,1,A1,2025-10-12
451163,86,M695,US01,0002,8,67.38,1,A0,2025-09-12
